test_type,trial_num,target_size,target_distance,index_of_difficulty,movement_time_ms,target_x,target_y,endpoint_x,endpoint_y,error_distance,click_x,click_y,hit,block_num,time_min,error_rate,latency_ms
fitts_law,1,30,100,2.1155,325.48,-52.28,-85.24,-51.65,-87.09,1.95,,,,,,,
fitts_law,2,30,100,2.1155,331.87,-95.67,-29.1,-98.33,-29.39,2.67,,,,,,,
fitts_law,3,30,100,2.1155,285.16,99.66,8.18,101.28,6.09,2.64,,,,,,,
fitts_law,1,30,200,2.9386,359.67,-199.82,8.53,-199.26,7.55,1.13,,,,,,,
fitts_law,2,30,200,2.9386,373.1,-198.35,-25.64,-201.03,-33.07,7.9,,,,,,,
fitts_law,3,30,200,2.9386,366.04,54.39,192.46,55.93,194.45,2.52,,,,,,,
fitts_law,1,30,400,3.8413,434.21,397.77,-42.21,404.17,-31.07,12.85,,,,,,,
fitts_law,2,30,400,3.8413,438.42,-197.6,347.78,-201.76,347.75,4.16,,,,,,,
fitts_law,3,30,400,3.8413,411.78,212.75,-338.73,217.73,-325.49,14.14,,,,,,,
fitts_law,1,30,600,4.3923,481.41,511.99,312.84,518.96,313.53,7.01,,,,,,,
fitts_law,2,30,600,4.3923,459.8,221.63,-557.56,220.86,-557.52,0.77,,,,,,,
fitts_law,3,30,600,4.3923,453.89,574.87,-171.82,584.88,-172.8,10.05,,,,,,,
fitts_law,1,50,100,1.585,292.53,22.88,-97.35,19.8,-95.04,3.85,,,,,,,
fitts_law,2,50,100,1.585,287.07,-95.78,-28.74,-92.74,-38.42,10.15,,,,,,,
fitts_law,3,50,100,1.585,300.85,70.08,-71.33,75.12,-75.71,6.67,,,,,,,
fitts_law,1,50,200,2.3219,327.58,192.51,-54.21,184.59,-45.19,12.0,,,,,,,
fitts_law,2,50,200,2.3219,354.3,62.04,190.13,78.47,197.07,17.84,,,,,,,
fitts_law,3,50,200,2.3219,342.36,196.48,-37.36,205.34,-22.41,17.39,,,,,,,
fitts_law,1,50,400,3.1699,375.75,114.79,-383.18,98.98,-376.76,17.06,,,,,,,
fitts_law,2,50,400,3.1699,401.69,214.88,337.38,207.08,329.76,10.91,,,,,,,
fitts_law,3,50,400,3.1699,434.55,-231.87,325.94,-241.72,338.85,16.24,,,,,,,
fitts_law,1,50,600,3.7004,420.0,-598.82,-37.64,-601.64,-31.47,6.78,,,,,,,
fitts_law,2,50,600,3.7004,418.71,66.53,596.3,71.6,583.97,13.34,,,,,,,
fitts_law,3,50,600,3.7004,434.55,165.96,576.59,162.82,582.22,6.45,,,,,,,
fitts_law,1,80,100,1.1699,255.1,4.63,99.89,6.65,107.59,7.96,,,,,,,
fitts_law,2,80,100,1.1699,273.94,-35.4,-93.52,-42.29,-102.1,11.0,,,,,,,
fitts_law,3,80,100,1.1699,273.03,99.68,7.99,113.25,1.75,14.94,,,,,,,
fitts_law,1,80,200,1.8074,310.24,198.68,22.92,183.28,6.51,22.51,,,,,,,
fitts_law,2,80,200,1.8074,332.37,-85.83,180.65,-80.77,191.71,12.17,,,,,,,
fitts_law,3,80,200,1.8074,309.25,160.38,-119.49,156.81,-116.72,4.52,,,,,,,
fitts_law,1,80,400,2.585,380.25,370.38,-151.07,369.47,-173.59,22.54,,,,,,,
fitts_law,2,80,400,2.585,336.88,-89.81,389.79,-97.54,373.75,17.81,,,,,,,
fitts_law,3,80,400,2.585,387.4,127.23,379.23,128.03,377.15,2.22,,,,,,,
fitts_law,1,80,600,3.0875,379.63,-422.69,425.83,-420.67,434.34,8.74,,,,,,,
fitts_law,2,80,600,3.0875,375.26,406.22,-441.57,399.04,-445.4,8.14,,,,,,,
fitts_law,3,80,600,3.0875,380.31,185.45,570.62,169.31,564.54,17.26,,,,,,,
fitts_law,1,120,100,0.8745,286.37,-96.82,25.02,-91.23,12.36,13.83,,,,,,,
fitts_law,2,120,100,0.8745,256.71,63.78,77.02,50.67,46.6,33.12,,,,,,,
fitts_law,3,120,100,0.8745,227.12,12.59,99.2,31.31,50.97,51.74,,,,,,,
fitts_law,1,120,200,1.415,269.73,191.94,56.22,169.46,53.93,22.59,,,,,,,
fitts_law,2,120,200,1.415,269.53,-151.92,-130.08,-153.86,-148.01,18.04,,,,,,,
fitts_law,3,120,200,1.415,309.37,-2.18,199.99,33.53,204.44,35.98,,,,,,,
fitts_law,1,120,400,2.1155,349.68,-325.49,-232.5,-317.44,-229.02,8.77,,,,,,,
fitts_law,2,120,400,2.1155,308.07,217.18,335.91,220.1,305.95,30.1,,,,,,,
fitts_law,3,120,400,2.1155,318.6,246.7,314.86,254.54,336.06,22.6,,,,,,,
fitts_law,1,120,600,2.585,381.78,-594.07,84.17,-575.13,94.85,21.74,,,,,,,
fitts_law,2,120,600,2.585,357.97,363.02,477.72,367.93,464.09,14.49,,,,,,,
fitts_law,3,120,600,2.585,381.04,417.78,-430.65,429.63,-456.91,28.81,,,,,,,
click_accuracy,1,,,,,911.55,89.12,,,10.99,919.48,96.74,True,,,,
click_accuracy,2,,,,,51.72,742.97,,,26.46,78.03,740.11,True,,,,
click_accuracy,3,,,,,198.08,483.53,,,13.11,186.21,489.09,True,,,,
click_accuracy,4,,,,,1035.45,284.5,,,10.75,1039.12,274.39,True,,,,
click_accuracy,5,,,,,232.45,935.29,,,5.22,227.68,937.43,True,,,,
